appid,name,median_playtime
200010,Quantum Conundrum,220
200130,Puzzler World 2,61
200170,Worms Revolution,259
200210,Realm of the Mad God,64
200260,Batman: Arkham City - Game of the Year Edition,618
200370,A Game of Dwarves,991
200390,Oil Rush,9
200490,Memento Mori,4
200510,XCOM: Enemy Unknown,1049
200550,Dungeons - The Dark Lord,3
200710,Torchlight II,508
200900,Cave Story+,152
201070,Revelations 2012,8
201210,Pox Nora,2
201230,EverQuest II,604
201290,Sins of a Solar Empire: Trinity®,145
201420,Toki Tori 2+,149
201480,Serious Sam: The Random Encounter,18
201510,Flatout 3: Chaos & Destruction,19
201570,Really Big Sky,281
201790,Orcs Must Die! 2,244
201810,Wolfenstein: The New Order,630
201870,Assassin's Creed® Revelations,1306
202130,Impire,76
202200,Galactic Civilizations® II: Ultimate Edition,17
202370,Scary Girl,31
202410,Scoregasm,17
202690,Hegemony Gold: Wars of Ancient Greece,5
202710,Demigod,270
202730,Dynamite Jack,9
202750,Alan Wake's American Nightmare,123
202970,Call of Duty®: Black Ops II,400
203140,Hitman: Absolution™,400
203160,Tomb Raider,475
203210,Titan Attacks!,189
203290,America's Army: Proving Grounds,24
203350,King's Bounty: Warriors of the North,798
203510,Fortune Summoners,27
203630,Warlock - Master of the Arcane,136
203650,Sonic the Hedgehog 4 - Episode II,1121
203680,F1 RACE STARS™,61
203750,Binary Domain,1242
203770,Crusader Kings II,272
203830,The Dark Eye: Chains of Satinav,566
203990,SATAZIUS,124
204030,Fable - The Lost Chapters,555
204060,Superbrothers: Sword & Sworcery EP,65
204100,Max Payne 3,531
204120,LEGO® Harry Potter: Years 5-7,1904
204180,Waveform,160
204220,Snapshot,89
204240,The Bridge,123
204300,Awesomenauts - the 2D moba,490
204340,Serious Sam 2,305
204360,Castle Crashers®,306
204530,Infested Planet,2974
204630,Retro City Rampage™ DX,629
204860,Men of War: Condemned Heroes,115
204880,Sins of a Solar Empire: Rebellion®,393
204940,Crusader Kings Complete,60
204960,Magical Drop V,182
205020,Lumino City,29
205100,Dishonored,565
205190,Rocksmith™,1371
205230,Hell Yeah! Wrath of the Dead Rabbit,146
205550,Foreign Legion: Multi Massacre,26
205610,Port Royale 3,64
205650,The Testament of Sherlock Holmes,1
205710,EverQuest,20
205730,Insanely Twisted Shadow Planet,275
205830,Luxor Evolved,94
205840,Yesterday,126
205910,Tiny and Big: Grandpa's Leftovers,197
205950,Jet Set Radio,136
206190,Gunpoint,242
206210,Gotham City Impostors Free to Play,107
206250,Cladun X2 / クラシックダンジョンX2,541
206370,Tales From Space: Mutant Blobs Attack,183
206420,Saints Row IV,1094
206440,To the Moon,233
206480,Dungeons & Dragons Online®,804
206500,AirMech Strike,172
206610,3SwitcheD,259
206690,iBomber Defense Pacific,108
207080,Indie Game: The Movie,249
207140,SpeedRunners,320
207170,Legend of Grimrock,362
207230,ArcheBlade™,101
207250,Cubemen,111
207320,Ys: The Oath in Felghana,635
207350,Ys Origin,1234
207370,eXceed - Gun Bullet Children,108
207380,eXceed 2nd - Vampire REX,171
207400,eXceed 3rd - Jade Penetrate Black Package,141
207420,Wizorb,504
207430,"Hack, Slash, Loot",139
207490,Rayman® Origins,497
207530,Noitu Love 2: Devolution,219
207570,English Country Tune,3
207650,A Virus Named TOM,97
207690,Botanicula,20
207750,Symphony,321
207930,Sacred Citadel,263
208140,Endless Space® - Collection,352
208200,Doom 3: BFG Edition,985
208460,Tryst,30
208500,F1 2012™,2887
208520,Omerta - City of Gangsters,281
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,774
208600,Lunar Flight,476
208650,Batman™: Arkham Knight,1296
208670,Blades of Time,105
208730,Game of Thrones,1421
208750,Apotheon,716
209000,Batman™: Arkham Origins,443
209060,Drunken Robot Pornography,167
209080,Guns of Icarus Online,295
209100,Resident Evil: Operation Raccoon City,237
